epoch,arm,lams,var_E,depth,reward,alpha,depth_metric,E_metric
1,arm1,"1,3",0.0011974811346462464,3.0,-0.04119748113464625,0.01,max_lambda,trueprob
1,arm2,"1,3,5",0.0012497032189062274,5.0,-0.16124970321890622,0.01,max_lambda,trueprob
1,arm3,"1,3,5,7",0.001239290020957239,7.0,-0.3612392900209572,0.01,max_lambda,trueprob
2,arm1,"1,3",0.0018978460059164985,3.0,-0.0418978460059165,0.01,max_lambda,trueprob
2,arm2,"1,3,5",0.0020300223932535593,5.0,-0.16203002239325356,0.01,max_lambda,trueprob
2,arm3,"1,3,5,7",0.001953775607721567,7.0,-0.3619537756077216,0.01,max_lambda,trueprob
3,arm1,"1,3",0.00244460968035249,3.0,-0.04244460968035249,0.01,max_lambda,trueprob
3,arm2,"1,3,5",0.0026760072129474967,5.0,-0.1626760072129475,0.01,max_lambda,trueprob
3,arm3,"1,3,5,7",0.002582668542909416,7.0,-0.3625826685429094,0.01,max_lambda,trueprob
4,arm1,"1,3",0.0042851197228118325,3.0,-0.044285119722811836,0.01,max_lambda,trueprob
4,arm2,"1,3,5",0.0048147879560067885,5.0,-0.1648147879560068,0.01,max_lambda,trueprob
4,arm3,"1,3,5,7",0.004577728116417236,7.0,-0.3645777281164172,0.01,max_lambda,trueprob
5,arm1,"1,3",0.008896821901093848,3.0,-0.048896821901093845,0.01,max_lambda,trueprob
5,arm2,"1,3,5",0.010052913343094405,5.0,-0.17005291334309441,0.01,max_lambda,trueprob
5,arm3,"1,3,5,7",0.00952380742080563,7.0,-0.3695238074208056,0.01,max_lambda,trueprob
6,arm1,"1,3",0.011989826990265531,3.0,-0.05198982699026553,0.01,max_lambda,trueprob
6,arm2,"1,3,5",0.013516837373623445,5.0,-0.17351683737362344,0.01,max_lambda,trueprob
6,arm3,"1,3,5,7",0.012811472491465938,7.0,-0.3728114724914659,0.01,max_lambda,trueprob
7,arm1,"1,3",0.01487064730318049,3.0,-0.05487064730318049,0.01,max_lambda,trueprob
7,arm2,"1,3,5",0.016649833893338867,5.0,-0.17664983389333888,0.01,max_lambda,trueprob
7,arm3,"1,3,5,7",0.01575876304503646,7.0,-0.37575876304503647,0.01,max_lambda,trueprob
8,arm1,"1,3",0.018533357993406586,3.0,-0.05853335799340659,0.01,max_lambda,trueprob
8,arm2,"1,3,5",0.020631045358986435,5.0,-0.18063104535898644,0.01,max_lambda,trueprob
8,arm3,"1,3,5,7",0.019832992016621694,7.0,-0.3798329920166217,0.01,max_lambda,trueprob
9,arm1,"1,3",0.022136381033673914,3.0,-0.062136381033673915,0.01,max_lambda,trueprob
9,arm2,"1,3,5",0.02440000830225474,5.0,-0.18440000830225475,0.01,max_lambda,trueprob
9,arm3,"1,3,5,7",0.023472514799422146,7.0,-0.3834725147994221,0.01,max_lambda,trueprob
10,arm1,"1,3",0.027382253644611033,3.0,-0.06738225364461103,0.01,max_lambda,trueprob
10,arm2,"1,3,5",0.02987668730746092,5.0,-0.18987668730746093,0.01,max_lambda,trueprob
10,arm3,"1,3,5,7",0.028674320278048126,7.0,-0.3886743202780481,0.01,max_lambda,trueprob
11,arm1,"1,3",0.02958103627789186,3.0,-0.06958103627789186,0.01,max_lambda,trueprob
11,arm2,"1,3,5",0.03201059560989363,5.0,-0.19201059560989364,0.01,max_lambda,trueprob
11,arm3,"1,3,5,7",0.031081196220975462,7.0,-0.3910811962209754,0.01,max_lambda,trueprob
12,arm1,"1,3",0.03587646635537531,3.0,-0.07587646635537532,0.01,max_lambda,trueprob
12,arm2,"1,3,5",0.03863969942460145,5.0,-0.19863969942460147,0.01,max_lambda,trueprob
12,arm3,"1,3,5,7",0.03716219502478605,7.0,-0.39716219502478606,0.01,max_lambda,trueprob
13,arm1,"1,3",0.033998842391237065,3.0,-0.07399884239123707,0.01,max_lambda,trueprob
13,arm2,"1,3,5",0.03613493776818382,5.0,-0.19613493776818383,0.01,max_lambda,trueprob
13,arm3,"1,3,5,7",0.03522672401463567,7.0,-0.39522672401463566,0.01,max_lambda,trueprob
14,arm1,"1,3",0.035500136457074026,3.0,-0.07550013645707403,0.01,max_lambda,trueprob
14,arm2,"1,3,5",0.037465307767340854,5.0,-0.19746530776734086,0.01,max_lambda,trueprob
14,arm3,"1,3,5,7",0.03657111614323003,7.0,-0.39657111614323004,0.01,max_lambda,trueprob
15,arm1,"1,3",0.03881546882985933,3.0,-0.07881546882985933,0.01,max_lambda,trueprob
15,arm2,"1,3,5",0.0407191399587193,5.0,-0.20071913995871932,0.01,max_lambda,trueprob
15,arm3,"1,3,5,7",0.03957081587038168,7.0,-0.3995708158703817,0.01,max_lambda,trueprob
16,arm1,"1,3",0.040454806908263134,3.0,-0.08045480690826314,0.01,max_lambda,trueprob
16,arm2,"1,3,5",0.042195774789638624,5.0,-0.20219577478963863,0.01,max_lambda,trueprob
16,arm3,"1,3,5,7",0.041084261002981806,7.0,-0.4010842610029818,0.01,max_lambda,trueprob
17,arm1,"1,3",0.04551569134237192,3.0,-0.08551569134237191,0.01,max_lambda,trueprob
17,arm2,"1,3,5",0.04735146510047245,5.0,-0.20735146510047245,0.01,max_lambda,trueprob
17,arm3,"1,3,5,7",0.04565005982470331,7.0,-0.4056500598247033,0.01,max_lambda,trueprob
18,arm1,"1,3",0.04331198173469067,3.0,-0.08331198173469068,0.01,max_lambda,trueprob
18,arm2,"1,3,5",0.044785892162947046,5.0,-0.20478589216294704,0.01,max_lambda,trueprob
18,arm3,"1,3,5,7",0.043372612211782985,7.0,-0.403372612211783,0.01,max_lambda,trueprob
19,arm1,"1,3",0.05582072705389944,3.0,-0.09582072705389943,0.01,max_lambda,trueprob
19,arm2,"1,3,5",0.0579471812771663,5.0,-0.2179471812771663,0.01,max_lambda,trueprob
19,arm3,"1,3,5,7",0.05496444696586637,7.0,-0.4149644469658664,0.01,max_lambda,trueprob
20,arm1,"1,3",0.049607074528097636,3.0,-0.08960707452809763,0.01,max_lambda,trueprob
20,arm2,"1,3,5",0.05138199414001527,5.0,-0.21138199414001527,0.01,max_lambda,trueprob
20,arm3,"1,3,5,7",0.04897420072126299,7.0,-0.408974200721263,0.01,max_lambda,trueprob
21,arm1,"1,3",0.04771040597160747,3.0,-0.08771040597160748,0.01,max_lambda,trueprob
21,arm2,"1,3,5",0.04924401759132614,5.0,-0.20924401759132616,0.01,max_lambda,trueprob
21,arm3,"1,3,5,7",0.046973714642996,7.0,-0.406973714642996,0.01,max_lambda,trueprob
22,arm1,"1,3",0.04671552029057188,3.0,-0.08671552029057189,0.01,max_lambda,trueprob
22,arm2,"1,3,5",0.04813174228360378,5.0,-0.2081317422836038,0.01,max_lambda,trueprob
22,arm3,"1,3,5,7",0.04565597750024825,7.0,-0.40565597750024823,0.01,max_lambda,trueprob
23,arm1,"1,3",0.048004650001966416,3.0,-0.08800465000196642,0.01,max_lambda,trueprob
23,arm2,"1,3,5",0.049466019666637794,5.0,-0.2094660196666378,0.01,max_lambda,trueprob
23,arm3,"1,3,5,7",0.04695151761064069,7.0,-0.4069515176106407,0.01,max_lambda,trueprob
24,arm1,"1,3",0.04825747459138407,3.0,-0.08825747459138407,0.01,max_lambda,trueprob
24,arm2,"1,3,5",0.049604561850789056,5.0,-0.20960456185078907,0.01,max_lambda,trueprob
24,arm3,"1,3,5,7",0.04678622435772417,7.0,-0.40678622435772416,0.01,max_lambda,trueprob
25,arm1,"1,3",0.06301858519758827,3.0,-0.10301858519758827,0.01,max_lambda,trueprob
25,arm2,"1,3,5",0.06490045102726558,5.0,-0.22490045102726558,0.01,max_lambda,trueprob
25,arm3,"1,3,5,7",0.060138855897140985,7.0,-0.42013885589714095,0.01,max_lambda,trueprob
26,arm1,"1,3",0.041342939623200924,3.0,-0.08134293962320092,0.01,max_lambda,trueprob
26,arm2,"1,3,5",0.04171349728580798,5.0,-0.20171349728580798,0.01,max_lambda,trueprob
26,arm3,"1,3,5,7",0.03943306295190172,7.0,-0.39943306295190173,0.01,max_lambda,trueprob
27,arm1,"1,3",0.033067976658057247,3.0,-0.07306797665805725,0.01,max_lambda,trueprob
27,arm2,"1,3,5",0.03312229851745241,5.0,-0.1931222985174524,0.01,max_lambda,trueprob
27,arm3,"1,3,5,7",0.03131048071191174,7.0,-0.3913104807119117,0.01,max_lambda,trueprob
28,arm1,"1,3",0.02953468296599102,3.0,-0.06953468296599102,0.01,max_lambda,trueprob
28,arm2,"1,3,5",0.02931049383523421,5.0,-0.1893104938352342,0.01,max_lambda,trueprob
28,arm3,"1,3,5,7",0.02820535737973479,7.0,-0.3882053573797348,0.01,max_lambda,trueprob
29,arm1,"1,3",0.028967100014325835,3.0,-0.06896710001432584,0.01,max_lambda,trueprob
29,arm2,"1,3,5",0.028874654684421613,5.0,-0.1888746546844216,0.01,max_lambda,trueprob
29,arm3,"1,3,5,7",0.027756345890254105,7.0,-0.3877563458902541,0.01,max_lambda,trueprob
30,arm1,"1,3",0.025514582672487032,3.0,-0.06551458267248703,0.01,max_lambda,trueprob
30,arm2,"1,3,5",0.025541307953305094,5.0,-0.1855413079533051,0.01,max_lambda,trueprob
30,arm3,"1,3,5,7",0.02471754992955139,7.0,-0.3847175499295514,0.01,max_lambda,trueprob
31,arm1,"1,3",0.02264262958771156,3.0,-0.06264262958771157,0.01,max_lambda,trueprob
31,arm2,"1,3,5",0.022734973246601824,5.0,-0.18273497324660182,0.01,max_lambda,trueprob
31,arm3,"1,3,5,7",0.02238630969107,7.0,-0.38238630969107,0.01,max_lambda,trueprob
32,arm1,"1,3",0.024224840260182047,3.0,-0.06422484026018205,0.01,max_lambda,trueprob
32,arm2,"1,3,5",0.024309003867169554,5.0,-0.18430900386716956,0.01,max_lambda,trueprob
32,arm3,"1,3,5,7",0.023668965347360044,7.0,-0.38366896534736006,0.01,max_lambda,trueprob
33,arm1,"1,3",0.03154493241131081,3.0,-0.07154493241131081,0.01,max_lambda,trueprob
33,arm2,"1,3,5",0.031849753998094144,5.0,-0.19184975399809415,0.01,max_lambda,trueprob
33,arm3,"1,3,5,7",0.03044654875724154,7.0,-0.39044654875724155,0.01,max_lambda,trueprob
34,arm1,"1,3",0.03832611581448529,3.0,-0.07832611581448529,0.01,max_lambda,trueprob
34,arm2,"1,3,5",0.03894886220867769,5.0,-0.1989488622086777,0.01,max_lambda,trueprob
34,arm3,"1,3,5,7",0.037519766578670496,7.0,-0.3975197665786705,0.01,max_lambda,trueprob
35,arm1,"1,3",0.027492851074102622,3.0,-0.06749285107410262,0.01,max_lambda,trueprob
35,arm2,"1,3,5",0.027745847849916468,5.0,-0.18774584784991646,0.01,max_lambda,trueprob
35,arm3,"1,3,5,7",0.026923697170020376,7.0,-0.38692369717002034,0.01,max_lambda,trueprob
36,arm1,"1,3",0.024739157700351736,3.0,-0.06473915770035174,0.01,max_lambda,trueprob
36,arm2,"1,3,5",0.02506503753977925,5.0,-0.18506503753977926,0.01,max_lambda,trueprob
36,arm3,"1,3,5,7",0.02438342745180034,7.0,-0.3843834274518003,0.01,max_lambda,trueprob
37,arm1,"1,3",0.027749656836732056,3.0,-0.06774965683673206,0.01,max_lambda,trueprob
37,arm2,"1,3,5",0.02808876338049788,5.0,-0.18808876338049788,0.01,max_lambda,trueprob
37,arm3,"1,3,5,7",0.02702115216891959,7.0,-0.3870211521689196,0.01,max_lambda,trueprob
38,arm1,"1,3",0.026670804059408026,3.0,-0.06667080405940803,0.01,max_lambda,trueprob
38,arm2,"1,3,5",0.02696916322250324,5.0,-0.18696916322250323,0.01,max_lambda,trueprob
38,arm3,"1,3,5,7",0.025886415944904272,7.0,-0.38588641594490425,0.01,max_lambda,trueprob
39,arm1,"1,3",0.02994578642655702,3.0,-0.06994578642655702,0.01,max_lambda,trueprob
39,arm2,"1,3,5",0.03023032014538787,5.0,-0.19023032014538788,0.01,max_lambda,trueprob
39,arm3,"1,3,5,7",0.028892071738361415,7.0,-0.3888920717383614,0.01,max_lambda,trueprob
40,arm1,"1,3",0.02527849295229454,3.0,-0.06527849295229454,0.01,max_lambda,trueprob
40,arm2,"1,3,5",0.025414132099285617,5.0,-0.18541413209928562,0.01,max_lambda,trueprob
40,arm3,"1,3,5,7",0.02448491368450752,7.0,-0.3844849136845075,0.01,max_lambda,trueprob
41,arm1,"1,3",0.02351007808813445,3.0,-0.06351007808813446,0.01,max_lambda,trueprob
41,arm2,"1,3,5",0.02360188159313368,5.0,-0.18360188159313368,0.01,max_lambda,trueprob
41,arm3,"1,3,5,7",0.02285251609389951,7.0,-0.3828525160938995,0.01,max_lambda,trueprob
42,arm1,"1,3",0.04118145598759447,3.0,-0.08118145598759446,0.01,max_lambda,trueprob
42,arm2,"1,3,5",0.04164221177891171,5.0,-0.20164221177891173,0.01,max_lambda,trueprob
42,arm3,"1,3,5,7",0.04026828985864528,7.0,-0.40026828985864527,0.01,max_lambda,trueprob
43,arm1,"1,3",0.026327298107987895,3.0,-0.0663272981079879,0.01,max_lambda,trueprob
43,arm2,"1,3,5",0.026516165744182293,5.0,-0.18651616574418228,0.01,max_lambda,trueprob
43,arm3,"1,3,5,7",0.025461975684285466,7.0,-0.3854619756842855,0.01,max_lambda,trueprob
44,arm1,"1,3",0.0238261337848863,3.0,-0.0638261337848863,0.01,max_lambda,trueprob
44,arm2,"1,3,5",0.023982124523639313,5.0,-0.18398212452363932,0.01,max_lambda,trueprob
44,arm3,"1,3,5,7",0.0231458469256426,7.0,-0.3831458469256426,0.01,max_lambda,trueprob
45,arm1,"1,3",0.02928902474482656,3.0,-0.06928902474482657,0.01,max_lambda,trueprob
45,arm2,"1,3,5",0.029566497388993057,5.0,-0.18956649738899306,0.01,max_lambda,trueprob
45,arm3,"1,3,5,7",0.028580944679162473,7.0,-0.3885809446791625,0.01,max_lambda,trueprob
46,arm1,"1,3",0.023183842877778037,3.0,-0.06318384287777803,0.01,max_lambda,trueprob
46,arm2,"1,3,5",0.023322327034412515,5.0,-0.1833223270344125,0.01,max_lambda,trueprob
46,arm3,"1,3,5,7",0.02269862421487331,7.0,-0.3826986242148733,0.01,max_lambda,trueprob
47,arm1,"1,3",0.026577655173537842,3.0,-0.06657765517353784,0.01,max_lambda,trueprob
47,arm2,"1,3,5",0.026756827066035164,5.0,-0.18675682706603516,0.01,max_lambda,trueprob
47,arm3,"1,3,5,7",0.025997548033272016,7.0,-0.385997548033272,0.01,max_lambda,trueprob
48,arm1,"1,3",0.0261031966665342,3.0,-0.0661031966665342,0.01,max_lambda,trueprob
48,arm2,"1,3,5",0.026207418283925487,5.0,-0.18620741828392548,0.01,max_lambda,trueprob
48,arm3,"1,3,5,7",0.025244276850376012,7.0,-0.385244276850376,0.01,max_lambda,trueprob
49,arm1,"1,3",0.02928509964696915,3.0,-0.06928509964696915,0.01,max_lambda,trueprob
49,arm2,"1,3,5",0.029428671629741304,5.0,-0.1894286716297413,0.01,max_lambda,trueprob
49,arm3,"1,3,5,7",0.028418450565838946,7.0,-0.38841845056583896,0.01,max_lambda,trueprob
50,arm1,"1,3",0.02516018933844228,3.0,-0.06516018933844228,0.01,max_lambda,trueprob
50,arm2,"1,3,5",0.025271557672289533,5.0,-0.18527155767228953,0.01,max_lambda,trueprob
50,arm3,"1,3,5,7",0.024526645202303205,7.0,-0.3845266452023032,0.01,max_lambda,trueprob
